Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,AAAAAAAAAAAAAAAAAAAAAAAA,TAAAAAAAAAAAAAAAAAAAAAAA,AAAAAAAAAAAAAAAAAAAAAAAT,TAAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
24,1,50,35,0,0,35,87,305,14962,3400,1700,14,0,0,0,0,0,6,1,0,1969.53,0.7535,0,0,0,35,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,51,32,0,0,32,82,329,15008,2400,1200,12,0,0,0,0,0,2,2,0,1923.53,0.589441,0,0,0,32,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,49,32,0,0,32,86,265,15128,2200,1100,11,0,0,0,0,0,3,0,0,1803.53,0.840875,0,0,0,32,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,51,30,0,0,30,86,368,15374,2600,1300,13,0,0,0,0,0,4,1,0,1939.68,0.767305,0,0,0,30,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,50,29,0,0,29,79,396,15297,1800,900,9,0,0,0,0,0,6,0,0,2016.68,0.579274,0,0,0,29,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,51,29,0,0,29,68,407,15343,1400,700,6,0,0,0,0,0,3,0,0,1970.68,0.801472,0,0,0,29,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,49,27,0,0,27,80,356,15389,2200,1100,11,0,0,0,0,0,4,1,0,1924.68,0.819788,0,0,0,27,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3,51,28,0,0,28,78,459,15659,1400,700,6,0,0,0,0,0,2,0,0,2023.06,0.746031,0,0,0,28,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,50,25,0,0,25,71,496,15497,1000,500,5,0,0,0,0,0,3,1,0,2185.06,1,0,0,0,25,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4,51,23,0,0,23,60,474,15213,1800,900,9,0,0,0,0,0,5,1,0,2469.06,1,0,0,0,23,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,49,23,0,0,23,69,429,15776,1200,600,6,0,0,0,0,0,4,0,0,1906.06,0.874855,0,0,0,23,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,51,95,0,0,95,155,376,15465,1800,900,8,0,0,0,70,0,2,1,0,2572.16,1,0,0,0,95,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,50,82,0,0,82,139,426,14892,2400,1200,10,0,0,0,60,0,2,1,0,3145.16,1,0,0,0,82,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4,51,85,0,0,85,126,412,15438,1400,700,7,0,0,0,67,0,3,2,0,2599.16,1,0,0,0,85,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,49,98,0,0,98,134,370,15372,1800,900,9,0,0,0,76,0,0,1,0,2665.16,1,0,0,0,98,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,51,101,0,0,101,173,392,15652,1600,800,65,0,0,0,27,0,12,9,0,2727.47,1,0,0,0,101,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,50,109,0,0,109,175,453,15720,1400,700,57,0,0,0,38,0,6,5,0,2659.47,1,0,0,0,109,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4,51,109,0,0,109,157,402,15202,1200,600,60,0,0,0,41,0,8,9,0,3177.47,1,0,0,0,109,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,49,95,0,0,95,161,397,15560,1600,800,71,0,0,0,19,0,9,13,0,2819.47,1,0,0,0,95,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,51,123,0,0,123,192,415,15574,1200,600,28,0,0,0,35,0,7,6,0,3135.45,1,0,0,0,123,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,50,135,0,0,135,207,440,15491,400,200,37,0,0,0,36,0,7,3,0,3218.45,1,0,0,0,135,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4,51,137,0,0,137,174,394,14772,1400,700,42,0,0,0,40,0,7,5,0,3937.45,1,0,0,0,137,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,49,120,0,0,120,179,420,15543,1200,600,18,0,0,0,32,0,6,1,0,3166.45,1,0,0,0,120,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3,51,137,0,0,137,225,421,15193,1400,700,36,0,0,0,35,0,15,6,0,3834.53,1,0,0,0,137,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,50,154,0,0,154,239,450,14258,1600,800,41,0,0,0,34,0,12,3,0,4769.53,1,0,0,0,154,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
