Time,NodeID,NodePopulation,InterventionName,FractionHas,AvgNumberOfInterventions,AvgEfficacy-Attracting,AvgEfficacy-Repelling,AvgEfficacy-Blocking,AvgEfficacy-Killing,AvgEfficacy-Usage,AvgEfficacy-AcquisitionBlocking,AvgEfficacy-TransmissionBlocking,AvgEfficacy-MortalityBlocking,DrugConcentration
127,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.07994
127,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
127,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.082947
127,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
127,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.0803832
127,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
127,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0811027
127,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
128,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.0747846
128,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
128,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.0775978
128,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
128,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.0751993
128,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
128,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0758723
128,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
129,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.0699616
129,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
129,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.0725933
129,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
129,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.0703495
129,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
129,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0709791
129,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
130,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.0654493
130,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
130,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.0679112
130,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
130,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.0658121
130,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
130,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0664011
130,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
131,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.0612284
131,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
131,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.0635316
131,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
131,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.061568
131,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
131,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.062119
131,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
132,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.0572796
132,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
132,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.0594342
132,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
132,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.0575972
132,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
132,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0581127
132,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
133,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.0535854
133,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
133,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.0556011
133,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
133,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.0538825
133,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
133,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0543648
133,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
134,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.0501296
134,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
134,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.0520153
134,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
134,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.0504076
134,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
134,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0508587
134,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
135,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.0468965
135,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
135,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.0486605
135,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
135,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.0471565
135,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
135,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0475786
135,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
136,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.043872
136,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
136,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.0455223
136,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
136,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.0441152
136,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
136,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0445101
136,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
137,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.0410425
137,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
137,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.0425864
137,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
137,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.0412701
137,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
137,1,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0416394
137,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
138,4,1000,AdherentDrug-Piperaquine,0.493,1,0,0,0,0,0,0,0,0,0.0383956
138,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
138,3,1000,AdherentDrug-Piperaquine,0.48,1,0,0,0,0,0,0,0,0,0.0398399
138,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
138,2,1000,AdherentDrug-Piperaquine,0.473,1,0,0,0,0,0,0,0,0,0.0386085
138,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
