Time,NodeID,NumIndividuals,NumInfected,AvgInfectiousness,AvgParasiteDensity,AvgGametocyteDensity,AvgVariantFractionPfEMP1Major,AvgNumInfections,AvgInfectionClearedDuration,NumInfectionsCleared,NumHasFever,NumHasClinicalSymptoms
217,55,0,0,0,0,0,0,0,0,0,0,0
217,54,0,0,0,0,0,0,0,0,0,0,0
217,53,0,0,0,0,0,0,0,0,0,0,0
217,52,0,0,0,0,0,0,0,0,0,0,0
217,51,0,0,0,0,0,0,0,0,0,0,0
217,50,5,0,0,0,0,0,0,0,0,0,0
217,49,3,0,0,0,0,0,0,0,0,0,0
217,48,4,0,0,0,0,0,0,0,0,0,0
217,47,13,0,0,0,0,0,0,0,0,0,0
217,46,0,0,0,0,0,0,0,0,0,0,0
217,45,0,0,0,0,0,0,0,0,0,0,0
217,44,0,0,0,0,0,0,0,0,0,0,0
217,43,0,0,0,0,0,0,0,0,0,0,0
217,42,0,0,0,0,0,0,0,0,0,0,0
217,41,0,0,0,0,0,0,0,0,0,0,0
217,40,1,0,0,0,0,0,0,0,0,0,0
217,39,1,0,0,0,0,0,0,0,0,0,0
217,38,3,0,0,0,0,0,0,0,0,0,0
217,37,12,0,0,0,0,0,0,0,0,0,0
217,36,0,0,0,0,0,0,0,0,0,0,0
217,35,0,0,0,0,0,0,0,0,0,0,0
217,34,11,0,0,0,0,0,0,0,0,0,0
217,33,1,0,0,0,0,0,0,0,0,0,0
217,32,3,0,0,0,0,0,0,0,0,0,0
217,31,5,0,0,0,0,0,0,0,0,0,0
217,30,6,0,0,0,0,0,0,0,0,0,0
217,29,1,0,0,0,0,0,0,0,0,0,0
217,28,3,0,0,0,0,0,0,0,0,0,0
217,27,10,0,0,0,0,0,0,0,0,0,0
217,26,0,0,0,0,0,0,0,0,0,0,0
217,25,0,0,0,0,0,0,0,0,0,0,0
217,24,1,0,0,0,0,0,0,0,0,0,0
217,23,0,0,0,0,0,0,0,0,0,0,0
217,22,3,0,0,0,0,0,0,0,0,0,0
217,21,4,0,0,0,0,0,0,0,0,0,0
217,20,8,0,0,0,0,0,0,0,0,0,0
217,19,2,0,0,0,0,0,0,0,0,0,0
217,18,4,0,0,0,0,0,0,0,0,0,0
217,17,11,0,0,0,0,0,0,0,0,0,0
217,16,0,0,0,0,0,0,0,0,0,0,0
217,15,0,0,0,0,0,0,0,0,0,0,0
217,14,3,0,0,0,0,0,0,0,0,0,0
217,13,5,0,0,0,0,0,0,0,0,0,0
217,12,1,0,0,0,0,0,0,0,0,0,0
217,11,1,0,0,0,0,0,0,0,0,0,0
217,10,6,0,0,0,0,0,0,0,0,0,0
217,9,1,0,0,0,0,0,0,0,0,0,0
217,8,3,0,0,0,0,0,0,0,0,0,0
217,7,12,0,0,0,0,0,0,0,0,0,0
217,6,0,0,0,0,0,0,0,0,0,0,0
217,5,0,0,0,0,0,0,0,0,0,0,0
217,4,4,0,0,0,0,0,0,0,0,0,0
217,3,5,0,0,0,0,0,0,0,0,0,0
217,2,1,0,0,0,0,0,0,0,0,0,0
217,1,13,0,0,0,0,0,0,0,0,0,0
218,100,183,0,0,0,0,0,0,0,0,0,0
218,99,0,0,0,0,0,0,0,0,0,0,0
218,98,0,0,0,0,0,0,0,0,0,0,0
218,97,0,0,0,0,0,0,0,0,0,0,0
218,96,4,0,0,0,0,0,0,0,0,0,0
218,95,5,0,0,0,0,0,0,0,0,0,0
