Year, NodeId, Gender, HasHIV, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Persistant_ART),Stopped_Using_ART
1961.92,1,1,1,0,60,1,1,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.92,1,1,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,0,0,0,0,1565,0,0,0,16,0,0,0,0,0,0,0,0
1962.42,1,0,0,0,15,883,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,0,0,0,30,578,0,0,0,2,0,0,0,0,0,0,0,0
1962.42,1,0,0,0,45,353,0,0,0,5,0,0,0,0,0,0,0,0
1962.42,1,0,0,0,60,194,0,0,0,6,0,0,0,0,0,0,0,0
1962.42,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,0,1,0,0,171,171,4,0,33,33,0,0,0,0,0,0,0
1962.42,1,0,1,0,15,233,233,5,0,4,4,0,0,0,0,0,0,0
1962.42,1,0,1,0,30,176,176,1,0,2,1,0,0,0,0,0,0,0
1962.42,1,0,1,0,45,83,83,0,0,4,1,0,0,0,0,0,0,0
1962.42,1,0,1,0,60,61,61,0,0,1,0,0,0,0,0,0,0,0
1962.42,1,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,0,1,1,0,21,21,0,21,0,0,21,0,0,0,0,21,0
1962.42,1,0,1,1,15,36,36,0,36,0,0,36,0,0,0,0,36,0
1962.42,1,0,1,1,30,20,20,0,20,0,0,20,0,0,0,0,20,0
1962.42,1,0,1,1,45,8,8,0,8,0,0,8,0,0,0,0,8,0
1962.42,1,0,1,1,60,5,5,0,5,0,0,5,0,0,0,0,5,0
1962.42,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,0,0,0,1971,0,0,0,7,0,0,0,0,0,0,0,0
1962.42,1,1,0,0,15,943,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,0,0,30,781,0,0,0,4,0,0,0,0,0,0,0,0
1962.42,1,1,0,0,45,495,0,0,0,3,0,0,0,0,0,0,0,0
1962.42,1,1,0,0,60,273,0,0,0,12,0,0,0,0,0,0,0,0
1962.42,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,1,0,0,2,2,2,0,2,2,0,0,0,0,0,0,0
1962.42,1,1,1,0,15,168,168,10,0,1,0,0,0,0,0,0,0,0
1962.42,1,1,1,0,30,34,34,3,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,1,0,45,5,5,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,1,1,15,11,11,0,11,0,0,11,0,0,0,0,11,0
1962.42,1,1,1,1,30,3,3,0,3,0,0,3,0,0,0,0,3,0
1962.42,1,1,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,1,1,1,60,1,1,0,1,0,0,1,0,0,0,0,1,0
1962.42,1,1,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,0,0,0,0,1597,0,0,0,11,0,0,0,0,0,0,0,0
1962.92,1,0,0,0,15,890,0,0,0,1,0,0,0,0,0,0,0,0
1962.92,1,0,0,0,30,586,0,0,0,3,0,0,0,0,0,0,0,0
1962.92,1,0,0,0,45,359,0,0,0,3,0,0,0,0,0,0,0,0
1962.92,1,0,0,0,60,191,0,0,0,10,0,0,0,0,0,0,0,0
1962.92,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,0,1,0,0,152,152,7,0,14,10,0,0,0,0,0,0,0
1962.92,1,0,1,0,15,234,234,4,0,4,3,0,0,0,0,0,0,0
1962.92,1,0,1,0,30,173,173,0,0,6,5,0,0,0,0,0,0,0
1962.92,1,0,1,0,45,82,82,0,0,5,2,0,0,0,0,0,0,0
1962.92,1,0,1,0,60,60,60,0,0,2,1,0,0,0,0,0,0,0
1962.92,1,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,0,1,1,0,20,20,0,20,0,0,20,0,0,0,0,20,0
1962.92,1,0,1,1,15,36,36,0,36,0,0,36,0,0,0,0,36,0
1962.92,1,0,1,1,30,20,20,0,20,0,0,20,0,0,0,0,20,0
1962.92,1,0,1,1,45,9,9,0,9,0,0,9,0,0,0,0,9,0
1962.92,1,0,1,1,60,5,5,0,5,0,0,5,0,0,0,0,5,0
1962.92,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,1,0,0,0,2008,0,0,0,10,0,0,0,0,0,0,0,0
1962.92,1,1,0,0,15,933,0,0,0,4,0,0,0,0,0,0,0,0
1962.92,1,1,0,0,30,778,0,0,0,2,0,0,0,0,0,0,0,0
1962.92,1,1,0,0,45,508,0,0,0,9,0,0,0,0,0,0,0,0
1962.92,1,1,0,0,60,273,0,0,0,7,0,0,0,0,0,0,0,0
1962.92,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,1,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,1,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,1,1,0,0,5,5,3,0,2,2,0,0,0,0,0,0,0
1962.92,1,1,1,0,15,184,184,20,0,1,0,0,0,0,0,0,0,0
1962.92,1,1,1,0,30,40,40,5,0,1,1,0,0,0,0,0,0,0
1962.92,1,1,1,0,45,6,6,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,1,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,1,1,1,15,11,11,0,11,0,0,11,0,0,0,0,11,0
1962.92,1,1,1,1,30,3,3,0,3,0,0,3,0,0,0,0,3,0
1962.92,1,1,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.92,1,1,1,1,60,1,1,0,1,0,0,1,0,0,0,0,1,0
1962.92,1,1,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.42,1,0,0,0,0,1643,0,0,0,9,0,0,0,0,0,0,0,0
1963.42,1,0,0,0,15,904,0,0,0,1,0,0,0,0,0,0,0,0
1963.42,1,0,0,0,30,582,0,0,0,8,0,0,0,0,0,0,0,0
1963.42,1,0,0,0,45,361,0,0,0,6,0,0,0,0,0,0,0,0
1963.42,1,0,0,0,60,195,0,0,0,9,0,0,0,0,0,0,0,0
1963.42,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.42,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.42,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.42,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.42,1,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.42,1,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.42,1,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.42,1,0,1,0,0,108,108,3,0,7,6,0,0,0,0,0,0,0
1963.42,1,0,1,0,15,187,187,2,0,2,2,0,0,0,0,0,0,0
1963.42,1,0,1,0,30,138,138,2,0,1,1,0,0,0,0,0,0,0
1963.42,1,0,1,0,45,59,59,0,0,1,0,0,0,0,0,0,0,0
1963.42,1,0,1,0,60,44,44,0,0,2,2,0,0,0,0,0,0,0
1963.42,1,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.42,1,0,1,1,0,59,59,0,59,0,0,59,0,0,0,0,59,0
1963.42,1,0,1,1,15,82,82,0,82,0,0,82,0,0,0,0,82,0
1963.42,1,0,1,1,30,54,54,0,54,2,2,54,0,0,0,0,54,0
1963.42,1,0,1,1,45,32,32,0,32,0,0,32,0,0,0,0,32,0
1963.42,1,0,1,1,60,21,21,0,21,0,0,21,0,0,0,0,21,0
1963.42,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.42,1,1,0,0,0,2060,0,0,0,16,0,0,0,0,0,0,0,0
1963.42,1,1,0,0,15,927,0,0,0,4,0,0,0,0,0,0,0,0
1963.42,1,1,0,0,30,760,0,0,0,4,0,0,0,0,0,0,0,0
1963.42,1,1,0,0,45,518,0,0,0,4,0,0,0,0,0,0,0,0
1963.42,1,1,0,0,60,279,0,0,0,7,0,0,0,0,0,0,0,0
