Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
48,340461476,1005,7610,89,348,7173,10539,44422,300353,466480,233240,1891,15,476,3,773,0,742,181,64,10614.7,2008.46,11855.9,0.110925,0.0857641,0.0992838,18,21,-3
49,340461476,1005,8822,103,349,8370,11720,38171,294096,419280,209640,2037,9,630,0,2182,0,699,210,61,24459.5,2869.59,27185,0.0567024,0.108683,0.0454596,9,4,5
50,340461476,1005,11911,101,376,11434,14887,40533,306264,364320,182160,2808,6,795,1,4320,0,868,283,80,9051.56,1987.5,9762.27,0.122838,0.111052,0.139898,7,8,-1
51,340461476,1005,14732,79,437,14216,17879,41405,284265,331560,165780,4227,17,1072,5,4502,0,1144,428,109,15843,2670.12,17405.8,0.0584424,0.0710838,0.0537925,22,27,-5
52,340461476,1005,18560,83,491,17986,21887,26002,293289,374440,187220,4284,11,1371,4,5748,0,1383,415,122,35913.2,3130.28,39970.2,0.128471,0.127635,0.09292,15,21,-6
53,340461476,1005,16867,103,558,16206,20605,33215,333491,504360,252180,5737,11,1596,1,758,0,1745,555,151,24347.6,3240.57,26987.8,0.206113,0.115423,0.230935,12,15,-3
54,340461476,1005,19647,91,560,18996,23614,38203,338214,747320,373660,3349,16,870,8,4860,0,1635,346,99,38237.6,3984.41,42783.8,0.109202,0.10242,0.108055,24,24,0
55,340461476,1005,21589,98,657,20834,25943,25377,391266,809280,404640,6129,10,1946,2,4575,0,1826,601,206,5373.22,1739.1,5513.66,0.124084,0.117051,0.105608,12,10,2
56,340461476,1005,18742,121,749,17872,23489,30692,356860,1032880,516440,6966,10,1929,5,0,0,1963,691,193,6268.91,2698.55,7080.31,0.0136418,0.0449613,0.014636,15,21,-6
57,340461476,1005,20317,113,707,19497,24986,32172,326911,588080,294040,2248,30,559,3,3719,0,1850,232,62,12964.3,2642.33,14637,0.0136601,0.0572698,0.0134392,33,38,-5
58,340461476,1005,23475,105,770,22600,28546,22613,320033,1125640,562820,6610,13,1970,3,6036,0,1974,676,228,44640.7,4432.63,49525.6,0.0533775,0.0851266,0.0465909,16,17,-1
59,340461476,1005,20165,94,882,19189,25926,42375,366878,1237960,618980,8540,7,2536,3,0,0,2253,805,252,114573,8009.69,127631,0.083578,0.0877402,0.0915446,10,11,-1
60,340461476,1006,20693,99,809,19785,26039,34743,580604,388640,194320,1486,14,391,4,2572,0,1869,139,36,9716.03,2855.24,11147.1,0.208557,0.124451,0.204459,18,21,-3
61,340461476,1007,21983,108,844,21031,27606,23864,546087,1201760,600880,6206,12,1766,2,4041,0,1963,624,164,2601.59,2968.22,3230.19,0.0608774,0.123925,0.0541123,14,15,-1
62,340461476,1008,20626,115,941,19570,26868,26389,491621,1560360,780180,8533,15,2439,1,1816,0,2078,848,247,13627.8,2597.62,15400.1,0.0047257,0.0544428,0.00541324,16,21,-5
63,340461476,1008,25713,126,881,24706,31616,18215,467198,266400,133200,2276,14,603,6,7386,0,1997,242,60,7778.19,3018.67,8419.97,0.0194695,0.0348767,0.019595,20,20,0
64,340461476,1008,22623,139,969,21515,29027,20899,436404,1113520,556760,9061,17,2647,3,488,0,2398,951,229,15334.8,3370.99,16978.7,0.0725848,0.177569,0.0591955,20,20,0
65,340461476,1008,19917,199,909,18809,26470,35487,412254,1530160,765080,6030,21,1747,2,187,0,2181,576,136,6308.77,3508.74,7425.95,0.0302725,0.051734,0.0313376,23,21,2
66,340461476,1008,20576,213,811,19552,26835,35311,381136,395560,197780,1664,22,402,6,2783,0,1907,177,40,45319,5153.1,50570.2,0.00925256,0.0476472,0.00958583,28,24,4
67,340461476,1008,20683,201,903,19579,27288,45194,426701,1629280,814640,7886,27,2317,9,3020,0,1945,746,222,25500.7,3830.03,28219.4,0.265396,0.185363,0.256702,36,44,-8
68,340461476,1008,19700,226,895,18579,26526,50094,430904,1093240,546620,6141,20,1708,7,1837,0,2015,620,185,13603.7,3424.63,15659.9,0.0341998,0.0494836,0.0350012,27,19,8
69,340461476,1008,23139,191,875,22073,29811,54457,402094,288080,144040,2378,16,610,11,5631,0,1920,217,55,18260.6,3564.44,20249,0.0285337,0.0524285,0.0284126,27,36,-9
70,340461476,1008,22799,230,1014,21555,30044,46379,403057,1434720,717360,9063,34,2665,15,2967,0,2099,930,278,1422.44,2782.26,1418.94,0.161028,0.0880544,0.150887,49,58,-9
71,340461476,1007,26250,234,1062,24954,33749,32902,365132,1094960,547480,6072,38,1720,7,6435,0,2199,603,182,11374,3413.03,12786.7,0.00215534,0.053878,0.00196224,45,43,2
72,340461476,1007,27364,197,1203,25964,34929,21713,357586,425680,212840,5925,13,1641,5,4299,0,2476,556,153,13345.5,3380.75,14764.5,0.0236899,0.0502211,0.0233812,18,16,2
73,340461476,1007,30693,234,1355,29104,38344,35872,324836,1627960,813980,8836,26,2651,5,6988,0,2561,846,252,37564.6,4535.4,41982.8,0.0775722,0.0700238,0.0718955,31,26,5
74,340461476,1007,27549,274,1506,25769,35708,90892,318123,1086080,543040,8809,52,2460,8,969,0,2959,878,276,36356.8,4788.51,40292.3,0.0506562,0.0599287,0.0517846,60,66,-6
75,340461476,1008,25726,245,1564,23917,33655,80272,368802,1076560,538280,4654,15,1322,1,1246,0,2530,412,127,5369.66,3136.27,5920.5,0.0771055,0.0617713,0.0750267,16,16,0
76,340461476,1008,22665,237,1648,20780,30671,78808,341665,1612960,806480,6861,42,1899,14,213,0,2449,633,192,14540.9,3889.69,16217.8,0.0113332,0.0471477,0.0110408,56,56,0
