Time,Node_ID,Event_Name,Individual_ID,Age,Gender,Infected,Infectiousness,RelativeBitingRate,TrueParasiteDensity,TrueGametocyteDensity,HasClinicalSymptoms
30,7,PFA_NoPartnerFound,4082,1513.82,F,1,0,1,24847.3,0,F
30,7,PFA_NoPartnerFound,4089,1935.08,F,1,0,1,27039.8,0,F
30,7,PFA_NoPartnerFound,4096,12414.5,M,1,0,1,18149.6,0,T
30,7,PFA_NoPartnerFound,4117,12951.8,F,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,4152,9541.45,F,1,0,1,18149.9,0,T
30,7,PFA_NoPartnerFound,4173,4979.07,F,1,0,1,21348.7,0,T
30,7,PFA_NoPartnerFound,4194,5216.05,F,1,0,1,21832.3,0,T
30,7,PFA_NoPartnerFound,4229,4807.27,M,1,0,1,21862.9,0,T
30,7,PFA_NoPartnerFound,4236,19966.9,M,1,0,1,18149.9,0,T
30,7,PFA_NoPartnerFound,4243,19730.4,M,1,0,1,18149.6,0,T
30,7,PFA_NoPartnerFound,4250,17841,M,1,0,1,18149.6,0,T
30,7,PFA_NoPartnerFound,4257,5173.88,M,1,0,1,16062.7,0,T
30,7,PFA_NoPartnerFound,4292,12068.3,M,1,0,1,16531.4,0,T
30,7,PFA_NoPartnerFound,4299,18114.7,M,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,4320,13346.8,M,1,0,1,16531.6,0,T
30,7,PFA_NoPartnerFound,4327,553.774,M,1,0,1,28138.2,0,F
30,7,PFA_NoPartnerFound,4348,15660.7,F,1,0,1,16531.5,0,T
30,7,PFA_NoPartnerFound,4369,3457.52,M,1,0,1,25119.9,0,F
30,7,PFA_NoPartnerFound,4376,23720.1,M,1,0,1,18149.9,0,T
30,7,PFA_NoPartnerFound,4418,5219.28,F,1,0,1,15968,0,T
30,7,PFA_NoPartnerFound,4425,13901.7,M,1,0,1,16531.6,0,T
30,7,PFA_NoPartnerFound,4432,10070,F,1,0,1,15853,0,T
30,7,PFA_NoPartnerFound,4467,2664.81,F,1,0,1,25287.9,0,F
30,7,PFA_NoPartnerFound,4474,3423.4,M,1,0,1,25246.1,0,F
30,7,PFA_NoPartnerFound,4488,5366.92,M,1,0,1,21405.7,0,T
30,7,PFA_NoPartnerFound,4495,12435.8,F,1,0,1,18149.9,0,T
30,7,PFA_NoPartnerFound,4551,6821.98,M,1,0,1,17350.4,0,T
30,7,PFA_NoPartnerFound,4586,6196.87,M,1,0,1,19380.1,0,T
30,7,PFA_NoPartnerFound,4593,21172.1,M,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,4607,11864.9,F,1,0,1,18150.1,0,T
30,7,PFA_NoPartnerFound,4628,12768.1,F,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,4642,7918.35,M,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,4677,5606.27,F,1,0,1,18787.2,0,T
30,7,PFA_NoPartnerFound,4691,13791.5,M,1,0,1,14999.9,0,T
30,7,PFA_NoPartnerFound,4698,2576.54,F,1,0,1,25684.9,0,F
30,7,PFA_NoPartnerFound,4733,5205.46,F,1,0,1,21863.2,0,T
30,7,PFA_NoPartnerFound,4747,253.808,M,1,0,1,33904.1,0,F
30,7,PFA_NoPartnerFound,4775,43900.1,F,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,4803,5101.13,F,1,0,1,21000,0,T
30,7,PFA_NoPartnerFound,4817,4711.28,M,1,0,1,22091.9,0,T
30,7,PFA_NoPartnerFound,4824,5918.5,F,1,0,1,20011.7,0,T
30,7,PFA_NoPartnerFound,4838,10200.4,M,1,0,1,18150.1,0,T
30,7,PFA_NoPartnerFound,4859,7485.71,F,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,4866,18333.3,F,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,4929,31610.1,F,1,0,1,16531.4,0,T
30,7,PFA_NoPartnerFound,4936,8486.28,F,1,0,1,10965.6,0,T
30,7,PFA_NoPartnerFound,4950,12673.9,M,1,0,1,16531.5,0,T
30,7,PFA_NoPartnerFound,4971,4621.96,M,1,0,1,20174.3,0,T
30,7,PFA_NoPartnerFound,4985,2168.61,M,1,0,1,27434.6,0,F
30,7,PFA_NoPartnerFound,4992,5068.87,F,1,0,1,19069.6,0,T
30,7,PFA_NoPartnerFound,4999,2850.96,F,1,0,1,25855.1,0,F
30,7,PFA_NoPartnerFound,5006,14382.8,F,1,0,1,16531.3,0,T
30,7,PFA_NoPartnerFound,5013,4881.76,M,1,0,1,19558.5,0,T
30,7,PFA_NoPartnerFound,5020,26440.7,F,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,5027,5634.48,M,1,0,1,18722.2,0,T
30,7,PFA_NoPartnerFound,5055,10665.3,M,1,0,1,18149.7,0,T
