Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
3,19,1,72,0,0,72,84,0,5763,3400,1700,17,0,2,0,0,0,5,0,0,1506.41,94.5746,166.267,1,0.046765,0.0984039,0,0,0
3,18,0,89,0,0,89,104,0,5068,5600,2800,0,0,0,0,0,0,11,0,0,2197.41,102.575,162.267,1,0.0519611,0.0443279,0,0,0
3,17,5,154,0,0,154,156,0,5738,7200,3600,56,0,8,0,0,0,9,0,0,1518.41,93.5746,180.267,0.519648,0.0198825,0.0476394,0,0,0
3,16,0,225,0,0,225,194,0,5689,1200,600,0,0,0,0,0,0,19,0,0,1577.41,85.5746,178.267,0.268521,0.0209289,0.0286976,0,0,0
3,15,5,62,0,0,62,53,0,4736,3400,1700,16,0,3,0,0,0,13,0,0,2514.41,92.5746,187.267,1,0.0587749,0.0605165,0,0,0
3,14,0,57,0,0,57,58,0,5212,2800,1400,0,0,0,0,0,0,9,0,0,2060.41,86.5746,171.267,1,0.0721083,0.137038,0,0,0
3,13,10,86,0,0,86,80,0,5073,4000,2000,21,0,4,0,0,0,7,0,0,2197.41,90.5746,169.267,1,0.05585,0.0590879,0,0,0
3,12,15,83,0,0,83,99,0,5853,3400,1700,22,0,1,0,0,0,9,0,0,1422.41,81.5746,173.267,0.929648,0.0895299,0.0762231,0,0,0
3,11,10,106,0,0,106,116,0,5749,5200,2600,24,0,5,0,0,0,23,0,0,1513.41,95.5746,172.267,0.66728,0.0264708,0.0479017,0,0,0
3,10,10,39,0,0,39,39,0,3355,1400,700,10,0,0,0,0,0,7,0,0,3904.41,91.5746,179.267,1,0.11153,0.108176,0,0,0
3,9,10,50,0,0,50,58,0,5398,2000,1000,10,0,0,0,0,0,8,0,0,1864.41,106.575,161.267,1,0.115662,0.0822231,0,0,0
3,8,10,72,0,0,72,55,0,4774,4600,2300,21,0,6,0,0,0,4,0,0,2509.41,91.5746,155.267,1,0.0804416,0.0774755,0,0,0
3,7,0,67,0,0,67,71,0,5485,3000,1500,0,0,0,0,0,0,9,0,0,1793.41,104.575,147.267,1,0.40265,0.0587308,0,0,0
3,6,11,55,0,0,55,64,0,5465,4800,2400,23,0,2,0,0,0,3,0,0,1767.41,99.5746,198.267,1,0.0737749,0.152446,0,0,0
3,5,14,39,0,0,39,33,0,3171,3000,1500,12,0,1,0,0,0,3,0,0,4094.41,107.575,157.267,1,0.13755,0.114654,0,0,0
3,4,5,46,0,0,46,37,0,2721,3400,1700,12,0,2,0,0,0,7,0,0,4532.41,90.5746,186.267,1,0.042765,0.203058,0,0,0
3,3,1,71,0,0,71,56,0,5143,4000,2000,14,0,6,0,0,0,5,0,0,2126.41,109.575,151.267,1,0.0845299,0.0651487,0,0,0
3,2,9,60,0,0,60,71,0,4117,3400,1700,14,0,1,0,0,0,7,0,0,3162.41,88.5746,162.267,1,0.0584562,0.0917231,0,0,0
3,1,4,59,0,0,59,61,0,4651,2800,1400,13,0,3,0,0,0,7,0,0,2627.41,97.5746,154.267,1,0.0546642,0.0718526,0,0,0
4,26,10,577,0,0,577,566,0,6505,5000,2500,20,0,3,0,0,0,81,0,0,2073.66,91.8989,182.407,1,0.126968,0.941337,0,0,0
4,25,2,53,0,0,53,43,0,5978,3800,1900,17,0,2,0,0,0,5,0,0,2606.66,92.8989,175.407,1,0.103575,0.0783034,0,0,0
4,24,10,74,0,0,74,63,0,6850,5600,2800,23,0,4,0,0,0,11,0,0,1739.66,108.899,154.407,1,0.0845746,0.115167,0,0,0
4,23,15,99,0,0,99,107,0,6975,6000,3000,31,0,5,0,0,0,8,0,0,1624.66,87.8989,165.407,0.872448,0.0995746,0.0701029,0,0,0
4,22,0,166,0,0,166,176,0,5889,3000,1500,0,0,0,0,0,0,25,0,0,2689.66,89.8989,184.407,1,0.182624,0.423169,0,0,0
4,21,0,203,0,0,203,194,0,6072,2200,1100,0,0,0,0,0,0,25,0,0,2525.66,91.8989,163.407,1,0.241437,0.287112,0,0,0
4,20,11,57,0,0,57,64,0,6362,4000,2000,20,0,1,0,0,0,8,0,0,2218.66,99.8989,172.407,1,0.0352873,0.159267,0,0,0
4,19,10,69,0,0,69,65,0,6104,5200,2600,27,0,1,0,0,0,5,0,0,2493.66,92.8989,162.407,1,0.0788122,0.103917,0,0,0
4,18,0,82,0,0,82,95,0,6817,4800,2400,0,0,0,0,0,0,8,0,0,1750.66,98.8989,186.407,1,0.170958,0.0540892,0,0,0
4,17,5,145,0,0,145,142,0,6995,7200,3600,52,0,7,0,0,0,20,0,0,1597.66,86.8989,173.407,0.542288,0.0389894,0.0901337,0,0,0
4,16,0,174,0,0,174,184,0,5600,2600,1300,0,0,0,0,0,0,34,0,0,2969.66,87.8989,195.407,1,0.142624,0.445669,0,0,0
4,15,5,53,0,0,53,42,0,6164,2600,1300,10,0,2,0,0,0,11,0,0,2388.66,126.899,173.407,1,0.0771455,0.312112,0,0,0
