Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
96,1715,11210.3,2,F,1,1,55,0,0,19.8002,80,1,0,0,1,0,2,1,0,0,0,0,76,0,1,34.9022,93,1,0,0,1,0,3,1,0,0,0,0
97,1757,1881.6,0,F,1,1,97,0,0,32.5158,468,1,1,0,0,0,3,1,0,0,0,0,58,0,1,26.7213,342,1,1,0,0,0,2,1,0,0,0,0
98,1764,1939.25,1,F,1,1,15,0,0,25.5234,262,1,0,1,0,0,3,1,0,0,0,0,95,0,1,18.816,127,1,0,1,0,0,3,1,0,0,0,0
99,1771,1855.34,0,F,1,1,78,0,0,28.952,342,1,1,0,0,0,2,1,0,0,0,0,94,0,1,28.7638,423,1,1,0,0,0,4,1,0,0,0,0
100,1813,1864.71,0,F,1,1,52,0,0,28.2255,175,1,1,0,0,0,5,1,0,0,0,0,13,0,1,45.467,271,1,1,0,0,0,5,1,0,0,0,0
101,1813,2737.7,0,F,1,1,59,0,0,14.9226,0,1,1,0,0,0,1,1,0,0,0,0,99,0,1,32.8409,241,1,1,0,0,0,5,1,0,0,0,0
102,1841,2252.23,1,F,1,1,85,0,0,35.985,223,1,0,1,0,0,3,1,0,0,0,0,93,0,1,35.37,356,1,0,1,0,0,4,1,0,0,0,0
103,1848,2947.93,1,F,1,1,68,0,0,23.0922,320,1,0,1,0,0,4,1,0,0,0,0,37,0,1,19.4288,264,1,0,1,0,0,2,1,0,0,0,0
104,2002,2283.18,0,F,1,1,15,0,0,26.1754,313,1,1,0,0,0,4,1,0,0,0,0,100,0,1,18.1725,96,1,1,0,0,0,2,1,0,0,0,0
105,2030,2335.46,0,F,1,1,51,0,0,51.7079,304,1,1,0,0,0,3,1,0,0,0,0,39,0,1,33.5796,378,1,1,0,0,0,4,1,0,0,0,0
106,2044,2303.31,0,F,1,1,34,0,0,21.2532,140,1,1,0,0,0,3,1,0,0,0,0,13,0,1,46.0999,293,1,1,0,0,0,6,1,0,0,0,0
