Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_AA,NumVectorsWithSporozoites_GG,NumVectorsWithSporozoites_Other
45,340461476,X-a2:X-a2,2377,0,0,2377,1789,21556,58150,0,0,0,0,0
46,340461476,X-a1:X-a1,2480,0,0,2480,1878,21438,51875,0,0,0,0,0
46,340461476,X-a1:X-a2,2428,0,0,2428,1741,20882,51575,0,0,0,0,0
46,340461476,X-a2:X-a1,2324,0,0,2324,1883,21522,55075,0,0,0,0,0
46,340461476,X-a2:X-a2,2375,0,0,2375,1887,21851,53575,0,0,0,0,0
47,340461476,X-a1:X-a1,2522,0,0,2522,1904,21383,55550,0,0,0,0,0
47,340461476,X-a1:X-a2,2416,0,0,2416,1805,20941,57350,0,0,0,0,0
47,340461476,X-a2:X-a1,2324,0,0,2324,1933,21756,50750,0,0,0,0,0
47,340461476,X-a2:X-a2,2462,0,0,2462,1891,21925,51350,0,0,0,0,0
48,340461476,X-a1:X-a1,2575,0,0,2575,1955,21583,54400,0,0,0,0,0
48,340461476,X-a1:X-a2,2458,0,0,2458,1915,21200,54000,0,0,0,0,0
48,340461476,X-a2:X-a1,2340,0,0,2340,1998,21686,55850,0,0,0,0,0
48,340461476,X-a2:X-a2,2492,0,0,2492,1871,21831,55650,0,0,0,0,0
49,340461476,X-a1:X-a1,2616,0,0,2616,1969,21627,56400,0,0,0,0,0
49,340461476,X-a1:X-a2,2506,0,0,2506,1871,21547,55450,0,0,0,0,0
49,340461476,X-a2:X-a1,2452,0,0,2452,1995,21871,58600,0,0,0,0,0
49,340461476,X-a2:X-a2,2514,0,0,2514,1910,21935,55850,0,0,0,0,0
50,340461476,X-a1:X-a1,2640,0,0,2640,1979,21897,62550,0,0,0,0,0
50,340461476,X-a1:X-a2,2525,0,0,2525,1917,21490,61400,0,0,0,0,0
50,340461476,X-a2:X-a1,2550,0,0,2550,2015,22091,55550,0,0,0,0,0
50,340461476,X-a2:X-a2,2586,0,0,2586,1917,21966,54200,0,0,0,0,0
51,340461476,X-a1:X-a1,2713,0,0,2713,1982,22180,57675,0,0,0,0,0
