node_id,acquireTime,acquireIndividualId,acquireIndividualAgeDays,acquireIndividualHasFever,acquireInfectionIds,concurrentInfectionIds,vectorId,transmitTime,transmitIndividualId,transmitInfectionIds,transmitGametocyteDensities
2,213,97,19488.9,0,"1080","104,142,306,330,392,416,514,564,1028",178451,189,101,"22,98,162,190,226,260,356,382,480,500","358.625,1090.79,1306.82,808.595,1103.54,422.003,62.8707,50.3036,4.24982,0.125104"
2,213,25,254.981,0,"1082","332,366,442,464,544,632,926,1044",171597,183,27,"36,46,120,136,154,180,250,290","1432.74,1049.55,1276.12,1422.59,689.876,333.843,126.938,6.42005"
2,213,29,16299.9,0,"1084","174,276,312,422,446,546,592,1046",181254,195,101,"22,98,162,190,226,260,356,382,480,500","68.5838,223.552,334.44,241.027,552.351,119.54,207.609,181.873,205.416,94.2514"
2,213,51,5790.99,0,"1086","88,112,244,316,342,396,470,568,616",185085,195,41,"80,148,238,280,370,426,492,604,610","275.636,502.345,520.359,861.964,247.589,1225.56,24.2224,0.054218,0.0077178"
2,213,67,2110.01,0,"1088","192,230,246,344,376,524,550,1056",184202,195,42,"171,225,387,421","2873.07,3038.78,1.00107,0.387544"
2,213,27,568.151,0,"1090","180,290,472,498,966,984,1022,1062",182439,192,75,"96,186,220,320,380,476,528,572","593.819,333.15,1116.7,806.789,197.625,5.32814,0.037431,0.0909438"
2,213,99,31110,0,"1092","82,208,282,428,496,522,566,582,620",182439,192,75,"96,186,220,320,380,476,528,572","593.819,333.15,1116.7,806.789,197.625,5.32814,0.037431,0.0909438"
2,213,49,4538.37,1,"1094","716,758,850,912,986,1012,1036,1070",169323,182,97,"20,62,104,142,306,330,392","2291,2292.75,900.883,374.015,0.108195,0.141631,0.021401"
1,214,46,1860.99,0,"1035","135,207,249,291,307,319,339,389,431",182320,193,46,"87,135,207,249,291,307,319,339,389","1362.46,1510.71,1121.43,91.0612,13.1887,62.6968,3.17563,2.54215,0.372663"
1,214,2,1022.94,0,"1037","227,251,293,321,447,475,515,525,1019",185416,196,20,"65,119,157,183,237,315,347,371,417,465","322.738,419.95,392.612,829.409,129.963,55.7905,10.8247,0.358768,0.21703,0.0149048"
1,214,20,6591.09,0,"1039","119,157,183,237,315,347,371,417,465",169126,181,38,"25,35,51,85,101,179","1373.35,1561.28,815.338,98.0473,12.8907,0.025417"
