Year, NodeId, Gender, MeetsTargetingConfig_1, HasHIV, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Num_TRANSITORY,Num_INFORMAL,Num_MARITAL,Num_COMMERCIAL,Num_Concordant_TRANSITORY,Num_Concordant_INFORMAL,Num_Concordant_MARITAL,Num_Concordant_COMMERCIAL
1990.62,1,1,0,1,228,228,0,0,2,2,0,0,0,0,0,0,0,16,0,0,0,16,0
1990.62,1,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1990.62,1,1,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1990.66,1,0,0,0,613,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,51,0
1990.66,1,0,0,1,232,232,0,0,5,5,0,0,0,0,0,0,0,16,0,0,0,16,0
1990.66,1,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1990.66,1,0,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1990.66,1,1,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,51,0
1990.66,1,1,0,1,223,223,0,0,4,4,0,0,0,0,0,0,0,16,0,0,0,16,0
1990.66,1,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1990.66,1,1,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1990.7,1,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,53,0
1990.7,1,0,0,1,224,224,0,0,4,4,0,0,0,0,0,0,0,17,0,0,0,17,0
1990.7,1,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.7,1,0,1,1,13,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.7,1,1,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,53,0
1990.7,1,1,0,1,218,218,0,0,4,4,0,0,0,0,0,0,0,17,0,0,0,17,0
1990.7,1,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.7,1,1,1,1,13,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.74,1,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,56,0
1990.74,1,0,0,1,223,223,0,0,1,1,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.74,1,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.74,1,0,1,1,13,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.74,1,1,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,56,0
1990.74,1,1,0,1,216,216,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.74,1,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.74,1,1,1,1,14,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.78,1,0,0,0,609,0,0,0,1,0,0,0,0,0,0,0,0,55,0,0,0,55,0
1990.78,1,0,0,1,222,222,0,0,1,1,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.78,1,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.78,1,0,1,1,13,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.78,1,1,0,0,551,0,0,0,1,0,0,0,0,0,0,0,0,55,0,0,0,55,0
1990.78,1,1,0,1,213,213,0,0,3,3,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.78,1,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.78,1,1,1,1,14,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.82,1,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,57,0
