Time,NodeID,Genome,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,MaleNumDied,MaleAvgAgeAtDeath
31,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
31,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
31,1,Other,73224,29726,981019,1090800,8015,4.6791
32,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
32,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
32,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
32,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
32,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
32,1,Other,72614,25891,985439,1630220,8106,5.20047
33,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
33,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
33,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
33,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
33,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
33,1,Other,72038,19190,992169,1321440,8100,5.74123
34,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
34,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
34,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
34,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
34,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
34,1,Other,67994,16405,997179,1364480,8186,6.18373
35,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
35,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
35,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
35,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
35,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
35,1,Other,64553,13427,1001170,1444460,7910,6.80607
36,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
36,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
36,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
36,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
36,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
36,1,Other,61448,9751,1004930,1253480,7449,7.3681
37,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
37,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
37,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
37,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
37,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
37,1,Other,56328,8180,1008227,1269480,7326,7.93093
38,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
38,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
38,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
38,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
38,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
38,1,Other,51724,6628,1011088,1097960,6749,8.67862
39,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
39,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
39,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
39,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
39,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
39,1,Other,47380,4840,1014790,997780,6393,9.27389
40,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
40,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
40,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
40,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
40,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
